"DOWN","YTG","FIELD_LOC","FIRST_DOWN_PCT","SNAPS"
1,35,"Your 39 to your 20",0,1
1,37,"My 40 to your 40",0,1
1,39,"Your 39 to your 20",0,1
1,40,"My 20 to my 39",0,1
1,42,"My 40 to your 40",0,1
1,45,"My 20 to my 39",100,1
1,,"Your 39 to your 20",0,1
2,1,"My 20 to my 39",90.3,2641
2,1,"My 40 to your 40",90.8,2699
2,1,"My Goal to my 19",89.8,245
2,1,"Your 19 to your Goal",88.3,2917
2,1,"Your 39 to your 20",92.5,1715
2,2,"My 20 to my 39",86.6,2484
2,2,"My 40 to your 40",88.5,2583
2,2,"My Goal to my 19",88.2,289
2,2,"Your 19 to your Goal",82.9,2086
2,2,"Your 39 to your 20",88.6,1637
2,3,"My 20 to my 39",82,2929
2,3,"My 40 to your 40",83.3,2901
2,3,"My Goal to my 19",81.5,428
2,3,"Your 19 to your Goal",78.2,2207
2,3,"Your 39 to your 20",85.1,1888
2,4,"My 20 to my 39",77.3,3672
2,4,"My 40 to your 40",78.8,3414
2,4,"My Goal to my 19",78.8,571
2,4,"Your 19 to your Goal",73.4,2242
2,4,"Your 39 to your 20",81.4,2135
2,5,"My 20 to my 39",72.5,4449
2,5,"My 40 to your 40",74.1,4169
2,5,"My Goal to my 19",71.6,806
2,5,"Your 19 to your Goal",66.4,2527
2,5,"Your 39 to your 20",77.1,2613
2,6,"My 20 to my 39",66.5,5078
2,6,"My 40 to your 40",70.6,4286
2,6,"My Goal to my 19",67.6,1051
2,6,"Your 19 to your Goal",65.4,2225
2,6,"Your 39 to your 20",72.9,2856
2,7,"My 20 to my 39",62.1,5668
2,7,"My 40 to your 40",67.2,4610
2,7,"My Goal to my 19",60.5,1394
2,7,"Your 19 to your Goal",59.8,2287
2,7,"Your 39 to your 20",69,3042
2,8,"My 20 to my 39",57.9,5575
2,8,"My 40 to your 40",61.5,4362
2,8,"My Goal to my 19",55.1,1518
2,8,"Your 19 to your Goal",57,1949
2,8,"Your 39 to your 20",63.2,3006
2,9,"My 20 to my 39",53.8,4586
2,9,"My 40 to your 40",58.2,3346
2,9,"My Goal to my 19",51.9,1467
2,9,"Your 19 to your Goal",53,1488
2,9,"Your 39 to your 20",60,2401
2,10,"My 20 to my 39",52,14339
2,10,"My 40 to your 40",57.8,11522
2,10,"My Goal to my 19",49.5,3593
2,10,"Your 19 to your Goal",49.9,2752
2,10,"Your 39 to your 20",59,8162
2,11,"My 20 to my 39",47.2,2118
2,11,"My 40 to your 40",50.8,1709
2,11,"My Goal to my 19",42.1,972
2,11,"Your 19 to your Goal",48.9,569
2,11,"Your 39 to your 20",51.3,1195
2,12,"My 20 to my 39",42.5,1628
2,12,"My 40 to your 40",46,1262
2,12,"My Goal to my 19",42,755
2,12,"Your 19 to your Goal",40.1,392
2,12,"Your 39 to your 20",45.9,965
2,13,"My 20 to my 39",44.1,1076
2,13,"My 40 to your 40",47.2,795
2,13,"My Goal to my 19",39,543
2,13,"Your 19 to your Goal",38.6,251
2,13,"Your 39 to your 20",45.9,627
2,14,"My 20 to my 39",39.3,817
2,14,"My 40 to your 40",43.8,607
2,14,"My Goal to my 19",35.5,423
2,14,"Your 19 to your Goal",43.2,148
2,14,"Your 39 to your 20",45.8,432
2,15,"My 20 to my 39",38.3,1098
2,15,"My 40 to your 40",40.4,794
