"YTG_START","QTR_START","T_ELAPSED","TOT_YDS","FIRST_DOWNS","NPLAYS","POINTS","PLAYS_PER_1STDOWN","FG","TD","INT","FUMBLE","BLITZ_PER_PLAY","YDS_PER_PLAY","CARRY","ATT"
62,1,493,52,4,13,3,2.6,1,0,0,0,0.08,4.77,3.6,8.67
63,1,56,4,0,3,0,3,0,0,0,0,0.67,1.33,4,0
90,4,96,53,3,9,0,2.3,0,0,0,0,0.33,2.56,0,2.3
80,3,85,38,1,3,0,1.5,0,0,0,1,0.33,25.33,11,21
86,3,65,0,0,3,0,3,0,0,0,0,0.33,0,0,0
75,2,28,-3,0,3,0,3,0,0,0,0,0,-1,5,0
70,2,80,70,4,8,0,1.6,0,1,0,0,0.5,8.75,1,13.17
59,1,100,59,2,4,7,1.3,0,1,0,0,0,14.75,4.33,46
94,1,53,2,0,3,0,3,0,0,0,0,0.33,0.67,2,0
79,2,13,-1,0,1,0,1,0,0,0,0,0,-1,-1,0
89,1,198,22,1,5,0,2.5,0,0,0,0,0.4,6.6,5.5,5.5
79,1,163,22,1,5,0,2.5,0,0,0,0,0,3.4,4,2.25
75,4,392,75,6,13,7,1.9,0,1,0,0,0.08,5.38,6.25,3.33
87,2,225,83,4,11,3,2.2,1,0,0,0,0.36,7.55,2.67,10.71
80,1,147,-4,1,5,0,2.5,0,0,0,0,0.2,4.2,1,5
76,3,244,66,3,8,3,2,1,0,0,0,0.25,8.88,6.67,12.75
80,2,12,0,0,1,0,1,0,0,0,0,0,0,0,0
68,1,202,39,2,9,3,3,1,0,0,0,0,4.33,4.33,5.2
70,1,389,70,4,11,7,2.2,0,1,0,0,0.09,7.18,3.17,10
59,2,258,59,5,9,7,1.5,0,1,0,0,0.11,7.67,2.25,10
70,1,237,31,2,7,0,2.3,0,0,0,0,0,4.43,3.5,7.5
92,1,86,8,0,3,0,3,0,0,0,0,0,2.67,4,0
55,1,275,30,3,9,0,2.3,0,0,0,1,0.22,4.67,5,6
63,4,165,19,1,4,0,2,0,0,0,0,0,4.75,4.75,0
71,1,59,7,0,3,0,3,0,0,0,0,0,2.33,7,0
29,1,63,29,2,3,7,1,0,1,0,0,0.67,9.67,16,6.5
38,4,85,-4,0,3,0,3,0,0,0,0,0,-1.33,-1.33,0
81,4,121,77,4,12,0,2.4,0,0,0,0,0.42,6.75,0,6.23
61,1,47,10,0,2,0,2,0,0,0,1,0,8.5,2,7.5
80,1,146,43,1,5,0,2.5,0,0,1,0,0,16,3,19.25
89,2,15,89,1,1,7,0.5,0,1,0,0,0,89,89,0
64,2,165,19,1,5,0,2.5,0,0,0,0,0,3.8,3.33,4.5
82,2,331,74,4,10,3,2,1,0,0,0,0.3,7.2,2.4,16.75
69,1,181,39,2,7,3,2.3,1,0,0,0,0.14,4.14,2.67,7
80,2,88,3,0,3,0,3,0,0,0,0,0.33,1,1.5,0
60,2,46,9,0,3,0,3,0,0,0,0,0.33,1.33,0,2
74,2,14,8,0,1,0,1,0,0,0,1,0,8,8,0
96,3,440,96,6,13,7,1.9,0,1,0,0,0.08,7.38,3.86,11.5
48,1,42,48,1,2,7,1,0,1,0,0,0.5,24,7,41
93,2,161,13,1,6,0,3,0,0,0,0,0.33,2.17,2,2.33
57,2,141,57,4,5,7,1,0,1,0,0,0,5,4.5,2.33
88,4,53,88,1,3,8,1.5,0,1,0,0,0.67,29.33,0,29.33
67,1,172,19,1,6,0,3,0,0,0,0,0.5,3.17,1.33,5
88,1,93,8,0,3,0,3,0,0,0,0,0.33,2.67,4,0
51,2,47,-2,0,2,0,2,0,0,1,0,0.5,10,-2,22
49,1,148,49,3,5,7,1.3,0,1,0,0,0.2,9.8,-1,12.5
64,1,176,64,3,6,7,1.5,0,1,0,0,0,10.67,0.33,21
89,1,99,7,0,3,0,3,0,0,0,0,1,4.67,4.33,0.33
80,1,226,5,1,6,0,3,0,0,0,0,0.17,2.5,3.5,5
42,3,92,42,1,3,7,1.5,0,1,0,0,0,14,0,21
60,3,14,-2,0,1,0,1,0,0,0,1,0,-2,-2,0
77,3,44,17,1,2,0,1,0,0,1,0,1,12.5,0,12.5
56,3,162,29,2,8,3,2.7,1,0,0,0,0.13,3.63,3,5
82,1,167,11,1,5,0,2.5,0,0,0,0,0.2,1.2,7,0.67
79,3,124,-3,0,3,0,3,0,0,0,0,0.33,3,3,0
83,1,89,-2,0,3,0,3,0,0,0,0,0.33,-0.67,0,3.5
80,4,246,13,1,5,0,2.5,0,0,0,0,0.2,7.2,4.75,5.67
60,1,94,9,0,3,0,3,0,0,0,0,0.67,3,0,3
82,1,64,-4,0,3,0,3,0,0,0,0,0,0.33,1,0
80,1,300,80,4,9,7,1.8,0,1,0,0,0.22,8.89,5.75,11.4
76,1,215,76,4,7,7,1.4,0,1,0,0,0,10.86,4.5,19.33
65,1,134,65,3,4,7,1,0,1,0,0,0.25,16.25,23,9.5
68,1,168,13,1,6,0,3,0,0,0,0,0.33,2.17,0,2.6
69,4,148,69,6,9,0,1.3,0,1,0,0,0.33,6.67,8.8,6
41,2,30,23,1,5,3,2.5,1,0,0,0,0.4,4.6,17,2
45,4,61,2,0,3,0,3,0,0,0,0,0.33,0.67,2,0
52,2,51,7,0,3,0,3,0,0,0,0,0.33,2.33,0,2.33
80,2,364,80,4,12,7,2.4,0,1,0,0,0,6.67,9,10
80,2,43,17,1,4,0,2,0,0,1,0,0,8.25,0,8.25
80,1,105,4,0,3,0,3,0,0,0,0,0,4.67,0,4.67
57,4,202,21,1,6,3,3,1,0,0,0,0,3.5,3,5
61,1,100,5,0,3,0,3,0,0,0,0,0.33,1.67,7,0
77,4,140,42,3,8,0,2,0,0,0,0,0.25,3.38,14,4
79,2,95,5,0,3,0,3,0,0,0,0,0.33,1.67,2.5,0
54,2,68,24,1,5,0,2.5,0,0,0,0,0.2,4.8,0,6
79,1,43,50,0,2,0,2,0,0,0,1,0,50.5,33.67,0
80,3,315,21,2,8,0,2.7,0,0,0,0,0.13,4.25,3,6.5
80,1,286,68,4,9,0,1.8,0,0,1,0,0.11,8.89,3,11.83
74,4,16,0,0,1,0,1,0,0,1,0,2,108,0,36
82,1,105,18,1,4,0,2,0,0,0,0,0.5,4.5,9,0
77,1,104,9,0,3,0,3,0,0,0,0,0,3,0,4.5
91,1,116,-5,0,3,0,3,0,0,0,0,0.33,-1.67,1.5,0
63,3,37,63,3,2,7,0.5,0,1,0,0,0,24,0,24
81,1,307,81,5,10,7,1.7,0,1,0,0,0.2,7.1,2,11.8
54,2,208,40,2,8,3,2.7,1,0,0,0,0.13,5,3.67,7.25
78,1,152,13,1,5,0,2.5,0,0,0,0,0,2.6,8,4.33
80,1,82,7,0,3,0,3,0,0,0,0,0.33,4.67,3.5,0
81,1,82,8,0,3,0,3,0,0,0,0,0.33,2.67,10,0
80,2,152,17,1,6,0,3,0,0,0,0,0.17,2.83,5.67,0
90,4,22,9,0,1,0,1,0,0,0,1,1,9,0,9
80,2,141,67,4,11,3,2.2,1,0,0,0,0.18,5.64,6.67,6
80,1,126,17,1,6,0,3,0,0,0,0,0,4.33,3,4
