"NAME","P1","P2","P3","P4","P5","BLITZ_PROB","YDS_PER_PLAY","COMPL_PRCNT","YDS_PER_CARRY","YDS_PER_COMP","YDS_PER_ATT"
"Colorado State Rams","Dee Hart","Joe Hansley","Nolan Peralta","Rashard Higgins","Steven Walker",0.18,6.3,68.2,4.1,17.9,12.2
"Colorado State Rams","Charles Lovett","Dee Hart","Joe Hansley","Rashard Higgins","Steven Walker",0.14,7.8,73.7,3.2,15.3,11
"Colorado State Rams","Charles Lovett","Dee Hart","Joe Hansley","Rashard Higgins","Xavier Williams",0.3,6.3,44,7.2,14.3,6.2
"Colorado State Rams","Total","Total","Total","Total","Total",0.24,6.9,65.4,5.1,14.6,9.3
"Connecticut Huskies","Total","Total","Total","Total","Total",0.22,4.5,56.5,3.6,11.2,6.1
"Duke Blue Devils","Total","Total","Total","Total","Total",0.25,5.3,57.5,5,10.5,5.9
"Duke Blue Devils","Josh Snead","Issac Blakeney","Jamison Crowder","David Reeves","Max McCaffrey",0.15,6.8,63.3,4.5,15.4,9.7
"Duke Blue Devils","Issac Blakeney","Jamison Crowder","Max McCaffrey","Shaquille Powell","Erich Schneider",0.21,6.7,62.5,4.1,13.4,8.4
"Duke Blue Devils","Issac Blakeney","Jamison Crowder","David Reeves","Max McCaffrey","Shaquille Powell",0.3,5.6,63.3,5.7,9.1,5.5
"Duke Blue Devils","Issac Blakeney","Jamison Crowder","Max McCaffrey","Shaquille Powell","Johnell Barnes",0.41,6.1,57.1,2.5,15.8,8.6
"Duke Blue Devils","Issac Blakeney","Jamison Crowder","David Reeves","Max McCaffrey","Shaun Wilson",0.3,4.2,57.1,4.9,6.9,3.9
"East Carolina Pirates","Total","Total","Total","Total","Total",0.17,6.3,64.9,5.2,12,7.6
"East Carolina Pirates","Justin Hardy","Chris Hairston","Cam Worthy","Davon Grayson","Isaiah Jones",0.1,4.8,48.8,4.7,10.5,5.1
"East Carolina Pirates","Justin Hardy","Cam Worthy","Breon Allen","Davon Grayson","Isaiah Jones",0.21,6.3,70.4,3.7,12,8.1
"East Carolina Pirates","Justin Hardy","Cam Worthy","Breon Allen","Isaiah Jones","Jimmy Williams",0.14,7.6,77.3,4.5,13.7,10.1
"Florida Gators","Quinton Dunbar","Clay Burton","Latroy Pittman Jr.","Demarcus Robinson","Kelvin Taylor",0.32,4.5,51.5,4.4,9.4,4.8
"Florida Gators","Quinton Dunbar","Clay Burton","Latroy Pittman Jr.","Matt Jones","Demarcus Robinson",0.29,3.8,47.6,3.9,10.2,4.6
"Florida Gators","Total","Total","Total","Total","Total",0.21,5.1,53.1,4.5,12.8,6.7
"Florida State Seminoles","Rashad Greene","Nick O'Leary","Jesus Wilson","Dalvin Cook","Travis Rudolph",0.25,5.7,53.8,5.3,12.2,6.5
"Florida State Seminoles","Rashad Greene","Nick O'Leary","Dalvin Cook","Ermon Lane","Travis Rudolph",0.2,7.1,74.2,6.1,11.3,8.4
"Florida State Seminoles","Rashad Greene","Nick O'Leary","Karlos Williams","Jesus Wilson","Travis Rudolph",0.28,6.6,69.4,4.6,12.1,8.3
"Florida State Seminoles","Total","Total","Total","Total","Total",0.21,6.3,64.5,4.6,12.9,8.2
