"NAME","P1","P2","P3","P4","P5","BLITZ_PROB","YDS_PER_PLAY","COMPL_PRCNT","YDS_PER_CARRY","YDS_PER_COMP","YDS_PER_ATT"
"Temple Owls","Wanemi Omuso","John Christopher","Jalen Fitzpatrick","Kenneth Harper","Brandon Shippen",0.16,4.4,45.8,5.4,9,3.8
"Tennessee Volunteers","Total","Total","Total","Total","Total",0.16,4.8,63.3,4,10.3,6.4
"Texas A&M Aggies","Total","Total","Total","Total","Total",0.17,6.5,65.5,5.4,12.2,7.9
"Texas Longhorns","John Harris","M.J. McFarland","Jaxon Shipley","Johnathan Gray","Geoff Swaim",0.19,4.4,50,4.8,9.3,4.6
"Texas Longhorns","John Harris","M.J. McFarland","Malcolm Brown","Jaxon Shipley","Geoff Swaim",0.21,4.6,68,4.8,8.4,5.3
"Texas Longhorns","John Harris","Jaxon Shipley","Johnathan Gray","Marcus Johnson","Geoff Swaim",0.24,5.8,50.9,3.4,14,7.1
"Texas Longhorns","Total","Total","Total","Total","Total",0.18,4.8,59.3,4,10.7,6.2
"Texas Longhorns","John Harris","Jaxon Shipley","Johnathan Gray","Marcus Johnson","Jacorey Warrick",0.16,4.8,47.2,5.5,11,5.2
"Texas Longhorns","John Harris","Malcolm Brown","Jaxon Shipley","Marcus Johnson","Geoff Swaim",0.27,5.4,61.6,4.2,10.8,6.6
"Texas Longhorns","John Harris","Malcolm Brown","Jaxon Shipley","Marcus Johnson","Jacorey Warrick",0.13,4.2,54.3,0.8,11.5,6.2
"Texas Tech Red Raiders","Total","Total","Total","Total","Total",0.13,6.4,60,5.3,12.7,7.5
"Texas Tech Red Raiders","Jakeem Grant","Bradley Marquez","DeAndre Washington","Reginald Davis","Dylan Cantrell",0.08,8,64.5,6,15.2,9.8
"Texas Tech Red Raiders","Jakeem Grant","Bradley Marquez","DeAndre Washington","Devin Lauderdale","Ian Sadler",0.09,7.1,55.3,7.2,13.6,7.5
"Tulane Green Wave","Total","Total","Total","Total","Total",0.26,4.9,55.3,4.6,10.1,5.5
"Tulsa Golden Hurricane","Keyarris Garrett","Joshua Atkinson","James Flanders","Keevan Lucas","Mandel Dixon",0.26,5,73.3,3.5,9.7,7.3
"Tulsa Golden Hurricane","Total","Total","Total","Total","Total",0.18,5.2,55.2,4.1,12,6.6
"Tulsa Golden Hurricane","Conner Floyd","Keyarris Garrett","Joshua Atkinson","James Flanders","Keevan Lucas",0.26,3.6,41.7,4.2,9.1,3.8
"UCF Knights","Total","Total","Total","Total","Total",0.24,5,57.7,3.4,13.1,7.4
"UCF Knights","Justin Tukes","J.J. Worton","Rannell Hall","Breshad Perriman","William Stanback",0.21,3.2,50,2.4,8.7,4.2
"UCLA Bruins","Devin Lucien","Devin Fuller","Jordan Payton","Paul Perkins","Thomas Duarte",0.22,7,75.8,7.6,10.6,8
"UCLA Bruins","Devin Fuller","Jordan Payton","Paul Perkins","Eldridge Massington","Thomas Duarte",0.19,6.3,67.3,4.8,13.1,8.5
"UCLA Bruins","Total","Total","Total","Total","Total",0.22,6.1,70.4,5.6,11.3,7.8
"UNLV Rebels","Taylor Barnhill","Devante Davis","Anthony Williams","Shaquille Murray-Lawrence","Devonte Boyd",0.25,6.3,64,4.6,13.5,8.6
"UNLV Rebels","Marcus Sullivan","Devante Davis","Maika Mataele","Shaquille Murray-Lawrence","Devonte Boyd",0.27,6.9,45.9,7.3,15.8,6.9
"UNLV Rebels","Total","Total","Total","Total","Total",0.23,5.1,54.6,4,12.4,6.7
"USC Trojans","Randall Telfer","Javorius Allen","Nelson Agholor","Darreus Rogers","JuJu Smith",0.23,7.4,82,5.3,12.2,10
"USC Trojans","Randall Telfer","Javorius Allen","George Farmer","Nelson Agholor","JuJu Smith",0.25,6.4,69.8,3,13.8,9.7
"USC Trojans","Total","Total","Total","Total","Total",0.2,5.9,70.2,4.3,12.1,8.4
"Utah State Aggies","Total","Total","Total","Total","Total",0.18,5.9,63.5,5.5,11.3,7
"Utah Utes","Westlee Tonga","Dres Anderson","Kenneth Scott","Kaelin Clay","Devontae Booker",0.3,4.8,53.4,4.8,10.1,5.4
"Utah Utes","Westlee Tonga","Dres Anderson","Kaelin Clay","Devontae Booker","Tim Patrick",0.22,3.1,50,3.3,7.6,3.8
"Utah Utes","Total","Total","Total","Total","Total",0.23,5.1,62.6,4.6,11.2,6.8
"Utah Utes","Westlee Tonga","Kenneth Scott","Kaelin Clay","Devontae Booker","Tim Patrick",0.41,4.3,65.5,4.4,9.8,6
"Utah Utes","Westlee Tonga","Kenneth Scott","Kaelin Clay","Devontae Booker","Kenric Young",0.09,5,52.8,6.2,8.9,4.7
"Utah Utes","Westlee Tonga","Kenneth Scott","Kaelin Clay","Delshawn McClellon","Devontae Booker",0.14,7.4,72.5,4.5,14.1,9.8
"Vanderbilt Commodores","Steven Scheu","Kellen Williams","C.J. Duncan","Latevius Rayford","Ralph Webb",0.26,6.8,42.9,7.1,17.8,7.6
"Vanderbilt Commodores","Total","Total","Total","Total","Total",0.24,4.7,50.7,3.7,12,6
"Vanderbilt Commodores","Davis Dudchock","Steven Scheu","C.J. Duncan","Latevius Rayford","Ralph Webb",0.29,5.3,60.7,4.6,9.8,6.2
"Virginia Cavaliers","Total","Total","Total","Total","Total",0.19,5,58.9,3.9,11.4,6.6
"Virginia Cavaliers","Miles Gooch","Kevin Parks","Zachary Swanson","Darius Jennings","Canaan Severin",0.1,6.5,75,5.6,11.5,8.2
"Virginia Tech Hokies","Ryan Malleck","Bucky Hodges","Sam Rogers","Isaiah Ford","Cam Phillips",0.29,4.2,57.6,1.3,11.5,6.2
"Virginia Tech Hokies","Willie Byrn","Bucky Hodges","Sam Rogers","Isaiah Ford","Cam Phillips",0.33,5.8,54.5,3.6,12.5,6.4
"Virginia Tech Hokies","Total","Total","Total","Total","Total",0.23,4.8,63.1,4,10.4,6.2
"Virginia Tech Hokies","Willie Byrn","Ryan Malleck","Sam Rogers","Isaiah Ford","Cam Phillips",0.34,6.4,66.7,0.6,13,7.8
"Wake Forest Demon Deacons","Matt James","E.J. Scott","Orville Reynolds","Jared Crump","Cam Serigne",0.3,3.9,65,2.1,8.8,5.4
"Wake Forest Demon Deacons","Matt James","E.J. Scott","Jared Crump","Cam Serigne","Isaiah Robinson",0.35,4.1,60.9,2.1,11,6.4
"Wake Forest Demon Deacons","Matt James","E.J. Scott","Jared Crump","Cam Serigne","Dezmond Wortham",0.32,3.1,45.7,2.1,10,4.2
"Wake Forest Demon Deacons","E.J. Scott","Jared Crump","Jonathan Williams","Cam Serigne","Isaiah Robinson",0.19,2.7,56,0.6,9.6,5.4
"Wake Forest Demon Deacons","Total","Total","Total","Total","Total",0.3,3.3,60.6,1.4,9.4,5.5
"Washington Huskies","Total","Total","Total","Total","Total",0.18,5.2,66.1,4.6,11,7
"Washington State Cougars","Total","Total","Total","Total","Total",0.14,6.1,66.4,2.4,11.3,7.5
"Washington State Cougars","Rickey Galvin","Isiah Myers","Tyler Baker","Vince Mayle","Jamal Morrow",0.15,6.3,70,1.9,11.7,8.4
"Washington State Cougars","Rickey Galvin","Isiah Myers","Vince Mayle","Jamal Morrow","River Cracraft",0.21,7.2,70.2,3.4,12,8.4
"West Virginia Mountaineers","Jordan Thompson","Rushel Shell","Wendell Smallwood","Kevin White","Mario Alford",0.11,7.9,73,6.4,12.1,8.8
"West Virginia Mountaineers","Jordan Thompson","Daikiel Shorts","Wendell Smallwood","Kevin White","Mario Alford",0.16,6.6,63.6,6.5,11.4,7.2
"West Virginia Mountaineers","Rushel Shell","Daikiel Shorts","Wendell Smallwood","Kevin White","Mario Alford",0.1,6.4,71.1,3.1,12.5,8.9
"West Virginia Mountaineers","Cody Clay","Jordan Thompson","Wendell Smallwood","Kevin White","Mario Alford",0.14,7,52.4,5.7,18.3,9.3
"West Virginia Mountaineers","Cody Clay","Jordan Thompson","Rushel Shell","Kevin White","Mario Alford",0.13,5.8,68.9,4.6,11.5,7.9
"West Virginia Mountaineers","Total","Total","Total","Total","Total",0.14,5.9,64.7,4.5,12.2,7.8
"West Virginia Mountaineers","Cody Clay","Rushel Shell","Kevin White","Elijah Wellman","Mario Alford",0.21,8.4,68.8,5.9,16.8,11.6
"Wisconsin Badgers","Total","Total","Total","Total","Total",0.13,6.6,55.9,7.1,11.7,6.4
"Wisconsin Badgers","Kenzel Doe","Sam Arneson","Melvin Gordon","Austin Traylor","Alex Erickson",0.11,8.3,47.4,10,9.2,4.4
"Wisconsin Badgers","Kenzel Doe","Sam Arneson","Jordan Fredrick","Melvin Gordon","Alex Erickson",0.27,5.2,64.6,5.3,10,6.3
"Wisconsin Badgers","Sam Arneson","Melvin Gordon","Austin Traylor","Derek Watt","Alex Erickson",0.03,5.9,16.7,7.1,4,0.7
"Wyoming Cowboys","Total","Total","Total","Total","Total",0.22,5.4,57.9,4.6,12.9,7.3
