REBOUNDER,WIN_LOSS,X,Y
Anderson Varejao,L,8.68029,21.7526
Tristan Thompson,L,8.23291,28.16314
Tristan Thompson,L,6.60219,22.95853
Timofey Mozgov,L,11.60367,31.84738
J.R. Smith,L,29.52727,20.69861
Kevin Love,L,27.80301,28.36625
Kevin Love,L,5.72506,47.40861
Tristan Thompson,L,33.12303,23.38489
Tristan Thompson,L,3.85538,22.88606
Tristan Thompson,L,6.12653,22.7087
Timofey Mozgov,L,5.87177,27.313
LeBron James,L,8.23405,1.91116
J.R. Smith,L,17.59644,16.47659
Tristan Thompson,L,11.79722,26.66838
Tristan Thompson,L,16.06804,23.52071
Tristan Thompson,L,21.81548,3.15078
Tristan Thompson,L,18.37927,46.09193
Tristan Thompson,L,5.70598,24.0605
Tristan Thompson,L,5.74398,27.2749
Matthew Dellavedova,L,4.21795,29.82774
Tristan Thompson,L,4.85858,21.79964
J.R. Smith,L,21.28362,44.59115
Kevin Love,W,5.32064,16.7994
Iman Shumpert,W,5.34639,25.32871
Iman Shumpert,W,14.46417,7.26496
LeBron James,W,7.87401,19.96324
Timofey Mozgov,W,9.44175,1.96821
J.R. Smith,W,13.93386,12.78939
Kevin Love,W,22.64322,32.58933
Kevin Love,W,30.5398,25.52737
J.R. Smith,W,5.82743,47.45633
Shawn Marion,W,10.65384,43.73552
Tristan Thompson,W,5.49348,31.0123
Tristan Thompson,W,4.4174,48.25325
Tristan Thompson,W,7.86201,19.29441
Kevin Love,W,4.98899,25.94342
Tristan Thompson,W,13.46926,19.42665
Tristan Thompson,W,7.22748,20.84469
Tristan Thompson,W,32.36011,24.00718
Tristan Thompson,L,3.593,26.20809
Tristan Thompson,L,4.426,25.20453
Mike Miller,L,12.17686,45.39873
Shawn Marion,L,28.21071,17.70607
LeBron James,L,5.21223,24.24048
Shawn Marion,L,26.04288,39.00771
Kevin Love,L,9.99224,18.38005
Tristan Thompson,L,4.50587,26.31858
Tristan Thompson,L,14.60938,47.14694
Tristan Thompson,L,11.60012,25.22747
Anderson Varejao,L,16.3086,31.86376
Anderson Varejao,L,14.75885,30.60731
Matthew Dellavedova,L,7.53665,25.25823
Kevin Love,W,5.18085,26.11262
Anderson Varejao,W,28.46142,38.8801
Anderson Varejao,W,12.67144,26.11374
Tristan Thompson,W,8.29496,26.6349
Kevin Love,W,16.90236,35.80015
Kevin Love,W,7.33929,19.11238
Kyrie Irving,W,20.34621,3.9101
Kyrie Irving,W,27.51689,35.96142
Tristan Thompson,L,11.30556,18.91435
Timofey Mozgov,L,16.33362,2.79415
J.R. Smith,L,25.50327,8.54149
Tristan Thompson,L,15.81025,46.83929
Iman Shumpert,L,26.19376,38.46874
Shawn Marion,L,9.9727,47.70142
LeBron James,L,25.42042,41.75518
Timofey Mozgov,W,4.03038,2.22522
Kyrie Irving,W,5.40938,22.12399
Tristan Thompson,W,6.51021,32.62665
Tristan Thompson,W,29.02607,34.32121
Matthew Dellavedova,W,31.20097,11.37372
Shawn Marion,W,6.37486,21.77369
Timofey Mozgov,W,22.89151,9.9507
Timofey Mozgov,W,29.81189,23.13326
Tristan Thompson,W,21.4613,23.60663
Matthew Dellavedova,W,18.17544,46.14676
Tristan Thompson,W,6.26923,48.27643
Kevin Love,W,33.3629,27.11147
LeBron James,W,5.79926,25.44515
Timofey Mozgov,W,12.15047,45.24649
Timofey Mozgov,W,5.86332,48.59537
Timofey Mozgov,W,3.8465,1.88589
Tristan Thompson,W,23.23089,8.71225
Tristan Thompson,W,30.07043,39.75381
Tristan Thompson,W,9.50991,21.12761
Tristan Thompson,W,4.90899,23.95311
Tristan Thompson,W,7.34328,26.39543
Kyrie Irving,W,20.39455,45.17194
LeBron James,W,12.91206,25.55506
Iman Shumpert,W,31.02287,21.01158
Kendrick Perkins,W,4.00563,46.74125
Timofey Mozgov,W,7.75758,22.64802
Timofey Mozgov,W,21.81189,47.3772
Tristan Thompson,W,11.17428,1.71483
Timofey Mozgov,W,19.8783,4.69948
Tristan Thompson,W,12.3515,7.1026
Tristan Thompson,W,21.66222,43.47084
James Jones,W,9.41551,2.23642
Kyrie Irving,W,3.64846,23.98319
Kevin Love,W,6.73052,30.26021
Kendrick Perkins,W,4.94668,20.58521
J.R. Smith,W,15.85257,46.57455
James Jones,W,27.45131,14.89075
Timofey Mozgov,W,16.984,3.22266
Matthew Dellavedova,W,26.57383,13.65141
Anderson Varejao,L,22.38294,11.55564
Anderson Varejao,L,5.09499,19.6722
Tristan Thompson,L,26.72492,36.67997
Kevin Love,L,23.1488,4.60821
Tristan Thompson,L,4.0757,13.34582
Kyrie Irving,L,27.4547,13.00937
Anderson Varejao,L,6.13652,1.18892
Kevin Love,L,10.27818,13.302
Dion Waiters,L,14.92964,21.66703
Kyrie Irving,L,21.76084,35.38335
Kevin Love,L,3.06129,4.04347
Timofey Mozgov,L,20.68847,44.21534
Tristan Thompson,L,5.88314,28.31416
Timofey Mozgov,L,23.68873,42.44849
Timofey Mozgov,L,6.99985,32.19823
Kevin Love,L,27.70902,11.85449
Shawn Marion,W,14.19047,21.5914
Kevin Love,W,5.69632,24.2567
Shawn Marion,W,9.09966,47.00598
LeBron James,W,6.03855,20.58791
Anderson Varejao,W,12.81301,21.08647
Tristan Thompson,W,5.1008,47.35266
Shawn Marion,W,20.34818,5.29433
Tristan Thompson,W,7.90478,12.47126
Tristan Thompson,W,24.11787,28.29406
LeBron James,W,7.47558,28.61078
Anderson Varejao,W,25.52071,13.66641
Anderson Varejao,W,29.45849,28.64513
Dion Waiters,W,12.55662,31.36666
Tristan Thompson,W,9.36423,21.60863
Anderson Varejao,W,28.92541,20.39607
LeBron James,W,11.17791,31.03387
LeBron James,W,5.86522,21.31315
Tristan Thompson,W,9.49043,18.87398
Will Cherry,W,14.18266,24.23431
Brendan Haywood,W,7.13229,18.42633
Kyrie Irving,L,28.42565,33.64978
Kevin Love,L,12.75341,41.74612
Anderson Varejao,L,23.20022,7.51696
Tristan Thompson,L,5.73981,26.26128
Tristan Thompson,L,8.06199,24.79401
Kevin Love,L,5.98501,24.92163
Shawn Marion,L,13.91074,22.50487
Joe Harris,L,13.46829,2.844
Kevin Love,L,16.70988,24.45638
Kevin Love,L,12.22955,24.66406
Kevin Love,L,4.23035,21.99966
Shawn Marion,L,8.93976,33.80336
LeBron James,L,8.34608,26.48287
Anderson Varejao,L,15.34422,22.33087
LeBron James,L,8.0406,19.81618
LeBron James,L,35.46334,38.26851
Kyrie Irving,L,8.56957,15.59739
Tristan Thompson,L,4.08057,36.84344
Timofey Mozgov,L,6.44769,24.21058
Tristan Thompson,L,7.33617,32.28484
Tristan Thompson,L,7.86021,18.47533
Timofey Mozgov,L,5.39919,16.31937
Kyrie Irving,L,28.24965,10.4445
Timofey Mozgov,L,4.72406,47.71198
Tristan Thompson,L,6.52588,47.4881
Tristan Thompson,L,6.4286,24.46843
Timofey Mozgov,L,7.50994,24.1162
Kyrie Irving,L,30.25671,26.38981
Iman Shumpert,L,16.86043,48.52048
Timofey Mozgov,L,13.3472,27.03793
J.R. Smith,L,2.32615,47.45363
Anderson Varejao,L,15.5924,19.17568
Anderson Varejao,L,12.16571,2.60124
Tristan Thompson,L,24.14225,33.48211
Shawn Marion,L,20.73195,24.76013
Anderson Varejao,L,2.60417,38.71509
Anderson Varejao,L,22.09835,7.31698
Tristan Thompson,L,7.34534,19.79117
Shawn Marion,L,7.86431,26.05273
Tristan Thompson,L,7.82275,22.04757
