REBOUNDER,WIN_LOSS,X,Y
Kevin Love,L,7.82122,17.50943
Iman Shumpert,L,7.02377,47.38468
Timofey Mozgov,W,6.18065,27.40793
Kevin Love,W,5.64547,24.48252
Kevin Love,W,20.31448,4.10135
Kyrie Irving,W,9.15533,30.11343
Tristan Thompson,W,11.10415,44.44131
Timofey Mozgov,W,22.86195,43.85432
Tristan Thompson,W,14.35482,26.64287
Iman Shumpert,W,7.91028,25.07139
Iman Shumpert,W,32.74681,12.13513
Timofey Mozgov,W,13.53734,47.93293
Kevin Love,W,10.8018,26.44876
Kevin Love,W,8.34537,17.48193
Timofey Mozgov,W,9.29534,21.30605
Tristan Thompson,W,12.81121,43.29356
Kevin Love,W,4.664,24.83274
Tristan Thompson,W,8.13046,21.22106
J.R. Smith,W,21.79384,13.42718
Tristan Thompson,W,30.18818,27.64087
Shawn Marion,W,29.20596,16.88996
Tristan Thompson,W,5.55918,23.13567
Matthew Dellavedova,W,24.37853,25.4745
Timofey Mozgov,W,14.0636,31.12529
Shawn Marion,W,20.71442,48.87578
LeBron James,W,10.20559,22.62938
LeBron James,W,5.83626,23.97808
Timofey Mozgov,W,7.22486,19.4989
Timofey Mozgov,W,4.68218,29.90538
Timofey Mozgov,W,7.549,29.28034
Timofey Mozgov,W,15.457,8.37359
Iman Shumpert,W,10.58493,46.46121
Tristan Thompson,W,8.73714,30.66705
Tristan Thompson,W,19.81222,20.28753
Tristan Thompson,W,25.9658,43.66463
Iman Shumpert,W,16.88649,45.25045
LeBron James,W,25.5759,27.66046
Tristan Thompson,W,7.74445,29.22413
Tristan Thompson,W,3.54116,48.04459
Timofey Mozgov,W,15.83452,10.05071
Tristan Thompson,W,9.77658,25.4433
Kevin Love,W,11.18734,22.87727
LeBron James,W,22.77078,22.03018
Kyrie Irving,W,5.92352,23.44015
Timofey Mozgov,W,11.35124,26.7887
Kyrie Irving,W,3.49115,48.76463
LeBron James,W,11.19358,21.12693
Timofey Mozgov,W,6.37454,23.59348
Kevin Love,W,4.50487,2.46757
Timofey Mozgov,W,11.40353,25.12253
Tristan Thompson,W,6.17913,19.93741
Kevin Love,W,14.374,47.15703
Timofey Mozgov,W,7.32977,21.35176
J.R. Smith,W,13.37205,45.01625
Matthew Dellavedova,W,6.66805,31.51341
Kevin Love,L,25.11099,40.74774
Tristan Thompson,L,27.84718,33.72339
Tristan Thompson,L,18.78955,27.8784
Tristan Thompson,L,10.35682,23.47183
Joe Harris,L,11.96611,21.27664
Timofey Mozgov,L,24.02155,6.1037
Kevin Love,L,26.49284,38.75895
Tristan Thompson,L,31.36254,32.65336
Shawn Marion,L,4.96502,19.18083
Shawn Marion,L,8.05423,20.86476
Timofey Mozgov,W,24.00723,5.02892
Kyrie Irving,W,16.23,38.9831
LeBron James,W,28.6955,16.57245
LeBron James,W,6.08635,21.97849
Timofey Mozgov,W,6.5076,16.00101
Timofey Mozgov,W,14.47844,29.06132
Kyrie Irving,W,29.01371,35.55318
Timofey Mozgov,W,11.15803,25.45698
LeBron James,W,5.88556,21.00517
Timofey Mozgov,W,5.82966,41.43509
Kendrick Perkins,W,22.53431,42.33429
Tristan Thompson,W,6.63266,2.67775
Iman Shumpert,W,10.04962,35.832
Tristan Thompson,W,21.81066,42.65842
Shawn Marion,W,12.59721,22.49823
Tristan Thompson,W,23.09594,17.30694
Timofey Mozgov,W,8.93458,44.06038
Tristan Thompson,W,18.65909,35.73018
Iman Shumpert,W,4.38229,47.2246
Shawn Marion,W,15.08935,12.74422
Kendrick Perkins,W,28.91829,32.89078
J.R. Smith,W,26.16467,9.08103
Kevin Love,W,26.11181,12.80003
Kevin Love,W,9.70975,25.77047
Kyrie Irving,W,23.03236,8.02689
Kyrie Irving,W,14.9956,6.36529
Iman Shumpert,W,32.47124,27.40328
Tristan Thompson,W,29.15439,9.87719
LeBron James,W,6.77642,2.02872
Iman Shumpert,W,5.62528,1.91494
Kyrie Irving,W,26.00323,10.61386
LeBron James,W,9.62248,47.96438
Kevin Love,W,5.33515,2.98423
Kevin Love,W,12.64729,25.32684
Timofey Mozgov,W,6.00483,21.6105
Kevin Love,W,6.92182,23.1099
Tristan Thompson,W,10.7625,6.43521
Shawn Marion,W,14.17644,41.40768
Shawn Marion,W,6.01304,21.87529
LeBron James,W,29.70839,23.2211
Kevin Love,W,25.08365,9.64453
Tristan Thompson,W,7.80713,1.59539
Timofey Mozgov,W,8.46241,16.11827
LeBron James,W,15.0395,12.93182
Kyrie Irving,W,5.59145,31.42159
Kevin Love,W,17.00925,3.78699
Tristan Thompson,W,21.69365,44.99568
Tristan Thompson,W,8.42538,18.52858
LeBron James,W,9.7446,3.02514
Kevin Love,W,5.93259,2.56966
Kevin Love,W,16.6155,34.71607
Shawn Marion,W,25.76501,11.48513
LeBron James,W,7.91304,25.46426
Kevin Love,W,4.03664,38.5991
Shawn Marion,W,6.47385,20.59523
Anderson Varejao,W,20.33545,3.9518
J.R. Smith,W,10.54123,22.24181
Timofey Mozgov,W,25.64122,11.94793
Kyrie Irving,W,3.7335,27.15083
Timofey Mozgov,W,22.92898,5.20662
Tristan Thompson,W,25.11418,41.78629
Kevin Love,W,16.19076,2.91714
Tristan Thompson,W,7.10541,22.84036
Timofey Mozgov,W,4.10247,28.81353
Timofey Mozgov,W,9.3878,47.73334
Kevin Love,W,5.25601,23.68247
Tristan Thompson,W,10.94937,21.90402
Timofey Mozgov,W,26.02562,9.75517
Timofey Mozgov,W,5.59503,23.80814
Tristan Thompson,W,12.42936,10.45675
Tristan Thompson,W,9.1456,25.62993
Tristan Thompson,W,17.41141,24.00786
